URL,Image name,Twist,Corner pix,Frac OffX,Frac OffY,Error,,,Twist,Corner pix,Frac OffX,Frac OffY
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533095310_1_CALIB.IMG,N1533095310,0.0132,0.16682,-3.501,2.008,1.09042,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533095350_1_CALIB.IMG,N1533095350,0.0128,0.16176,-3.733,1.184,1.22804,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533095390_1_CALIB.IMG,N1533095390,0.0092,0.11627,-4.182,0.571,1.02967,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533095430_1_CALIB.IMG,N1533095430,0.0092,0.11627,-3.592,0.049,1.24945,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2025/data/1538256469_1538302595/N1538300742_1_CALIB.IMG,N1538300742,0.008,0.1011,-10.738,46.354,0.50622,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2025/data/1538256469_1538302595/N1538301401_1_CALIB.IMG,N1538301401,0.0068,0.08594,4.274,78.648,1.41515,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2026/data/1539677190_1539755710/N1539722833_1_CALIB.IMG,N1539722833,0.0092,0.11627,2.053,5.943,1.24398,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2026/data/1539677190_1539755710/N1539722878_1_CALIB.IMG,N1539722878,0.0108,0.13649,2.093,5.345,1.38801,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2026/data/1539677190_1539755710/N1539722995_1_CALIB.IMG,N1539722995,0.0084,0.10616,2.522,4.731,0.99561,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2026/data/1539755921_1540366583/N1540125444_1_CALIB.IMG,N1540125444,0.0056,0.07077,-0.959,33.883,1.28847,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2026/data/1539755921_1540366583/N1540126216_1_CALIB.IMG,N1540126216,0.01,0.12638,4.494,34.361,1.31762,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2026/data/1539755921_1540366583/N1540126261_1_CALIB.IMG,N1540126261,0.012,0.15165,3.458,32.037,1.33864,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2026/data/1539755921_1540366583/N1540196604_1_CALIB.IMG,N1540196604,0.0112,0.14154,-6.142,35.193,0.77147,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2026/data/1539755921_1540366583/N1540197376_1_CALIB.IMG,N1540197376,0.0072,0.09099,5.853,26.482,1.41529,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2026/data/1539755921_1540366583/N1540197421_1_CALIB.IMG,N1540197421,0.0084,0.10616,5.367,23.851,1.09088,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2033/data/1561368924_1561481621/N1561416749_1_CALIB.IMG,N1561416749,0.0132,0.16682,-12.822,-8.837,1.4834,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2033/data/1561368924_1561481621/N1561417169_1_CALIB.IMG,N1561417169,0.0128,0.16176,-19.08,-22.187,1.72766,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2033/data/1561368924_1561481621/N1561417589_1_CALIB.IMG,N1561417589,0.0108,0.13649,-11.691,-22.531,1.28141,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2033/data/1561368924_1561481621/N1561418009_1_CALIB.IMG,N1561418009,0.008,0.1011,-15.035,-24.253,1.29297,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2033/data/1561368924_1561481621/N1561418429_1_CALIB.IMG,N1561418429,0.0112,0.14154,-15.108,-31.458,1.36301,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2033/data/1561368924_1561481621/N1561418849_1_CALIB.IMG,N1561418849,0.0128,0.16176,-13.258,-18.134,1.36117,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2033/data/1561368924_1561481621/N1561419269_1_CALIB.IMG,N1561419269,0.0084,0.10616,-18.588,-30.268,1.18846,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2033/data/1561368924_1561481621/N1561419689_1_CALIB.IMG,N1561419689,0.012,0.15165,-11.467,-28.214,1.46713,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2033/data/1561368924_1561481621/N1561420109_1_CALIB.IMG,N1561420109,0.0068,0.08594,-14.326,-24.761,1.01812,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2034/data/1563027386_1563490622/N1563329313_1_CALIB.IMG,N1563329313,0.0128,0.16176,0.203,-2.624,1.16545,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2034/data/1563027386_1563490622/N1563350253_1_CALIB.IMG,N1563350253,0.0164,0.20726,0.819,0.988,0.70253,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2041/data/1580614432_1580756339/N1580739191_1_CALIB.IMG,N1580739191,0.0108,0.13649,-7.782,-7.731,1.30662,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2041/data/1580614432_1580756339/N1580739231_1_CALIB.IMG,N1580739231,0.0128,0.16176,-8.226,-10.101,1.39917,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2041/data/1580614432_1580756339/N1580739271_1_CALIB.IMG,N1580739271,0.0108,0.13649,-7.934,-12.469,1.23586,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2041/data/1580614432_1580756339/N1580739311_1_CALIB.IMG,N1580739311,0.008,0.1011,-8.593,-14.674,1.35279,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2041/data/1580614432_1580756339/N1580739351_1_CALIB.IMG,N1580739351,0.0132,0.16682,-8.269,-16.365,1.26345,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2041/data/1580614432_1580756339/N1580739391_1_CALIB.IMG,N1580739391,0.01,0.12638,-8.814,-17.954,1.45849,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2041/data/1580614432_1580756339/N1580739431_1_CALIB.IMG,N1580739431,0.0116,0.1466,-7.536,-18.735,1.34818,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2041/data/1580614432_1580756339/N1580740181_1_CALIB.IMG,N1580740181,0.0068,0.08594,-4.624,-7.707,1.24876,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2041/data/1580614432_1580756339/N1580740221_1_CALIB.IMG,N1580740221,0.0068,0.08594,-4.511,-7.235,1.3869,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2041/data/1580614432_1580756339/N1580740261_1_CALIB.IMG,N1580740261,0.0188,0.23759,-7.086,-2.581,1.7389,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2041/data/1580614432_1580756339/N1580740301_1_CALIB.IMG,N1580740301,0.0108,0.13649,-7.46,-1.916,1.33571,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2041/data/1580614432_1580756339/N1580740341_1_CALIB.IMG,N1580740341,0.0112,0.14154,-2.61,-5.432,1.28598,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2041/data/1580614432_1580756339/N1580740381_1_CALIB.IMG,N1580740381,0.0104,0.13143,-2.909,-4.41,1.30721,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2041/data/1580614432_1580756339/N1580740421_1_CALIB.IMG,N1580740421,0.0108,0.13649,-6.696,-0.025,1.35875,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2041/data/1580614432_1580756339/N1580741171_1_CALIB.IMG,N1580741171,0.0108,0.13649,-5.971,4.31,1.03761,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2041/data/1580614432_1580756339/N1580741211_1_CALIB.IMG,N1580741211,0.0076,0.09605,-11.51,-0.497,1.40841,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2041/data/1580614432_1580756339/N1580741251_1_CALIB.IMG,N1580741251,0.014,0.17693,-10.451,-0.079,1.06369,,,,,,
